"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 분당구 판교동","5**","단독","25m미만","297.78","246.00","202512","19","320,000","개인","개인","2014","판교로210번길","-","중개거래","경기 성남시 분당구"
"2","경기도 성남시 분당구 정자동","8*","다가구","8m미만","454.64","231.10","202512","18","308,000","법인","개인","1996","느티로51번길","-","중개거래","경기 성남시 분당구, 인천 연수구"
"3","경기도 성남시 분당구 분당동","1**","단독","8m미만","371.88","193.90","202512","12","168,000","개인","개인","1998","분당로327번길","-","중개거래","경기 성남시 분당구"
"4","경기도 성남시 분당구 야탑동","3**","단독","12m미만","327.36","168.00","202512","07","120,000","개인","개인","1995","야탑로161번길","-","중개거래","경기 성남시 분당구"
"5","경기도 성남시 분당구 판교동","4**","단독","12m미만","207.59","230.90","202512","04","222,000","개인","개인","2011","판교로197번길","-","중개거래","경기 성남시 분당구"
"6","경기도 성남시 분당구 운중동","9**","단독","8m미만","329.65","431.70","202512","02","600,000","개인","개인","2012","산운로","-","직거래","-"
"7","경기도 성남시 분당구 구미동","2**","단독","12m미만","329.91","523.70","202512","01","350,000","개인","법인","2004","구미로192번길","-","중개거래","경기 성남시 분당구"
"8","경기도 성남시 분당구 정자동","1**","다가구","8m미만","439.80","230.00","202511","28","198,000","개인","기타","1995","황새울로12번길","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구"
"9","경기도 성남시 분당구 운중동","9**","단독","12m미만","293.10","265.20","202511","26","350,000","개인","개인","2016","산운로170번길","-","중개거래","경기 성남시 분당구"
"10","경기도 성남시 분당구 정자동","3*","다가구","8m미만","461.76","231.50","202511","18","210,000","개인","개인","1996","내정로129번길","-","중개거래","경기 성남시 분당구"
"11","경기도 성남시 분당구 서현동","3**","다가구","8m미만","440.32","226.90","202511","15","156,000","개인","개인","1994","불정로426번길","-","중개거래","경기 성남시 분당구"
"12","경기도 성남시 분당구 운중동","9**","다가구","12m미만","271.24","238.80","202511","14","215,000","개인","개인","2016","운중로14번길","-","중개거래","경기 성남시 분당구"
"13","경기도 성남시 분당구 서현동","3**","다가구","12m미만","401.08","206.70","202511","12","157,500","개인","개인","1995","효자길","-","중개거래","경기 성남시 분당구"
"14","경기도 성남시 분당구 구미동","5*","단독","25m미만","453.00","228.60","202511","12","150,000","개인","개인","1997","미금일로90번길","-","중개거래","경기 성남시 분당구"
"15","경기도 성남시 분당구 분당동","1**","다가구","8m미만","447.12","231.40","202511","03","150,000","개인","개인","1996","서현로494번길","-","중개거래","경기 성남시 분당구"
"16","경기도 성남시 분당구 서현동","2*","단독","8m미만","327.93","659.00","202510","26","295,000","개인","개인","2003","새마을로83번길","-","중개거래","경기 성남시 분당구"
"17","경기도 성남시 분당구 운중동","8**","단독","12m미만","189.26","230.50","202510","23","260,000","개인","개인","2012","산운로48번길","-","중개거래","경기 성남시 분당구"
"18","경기도 성남시 분당구 야탑동","3**","다가구","8m미만","458.46","230.80","202510","16","175,500","개인","개인","1997","야탑로111번길","-","중개거래","경기 성남시 분당구"
"19","경기도 성남시 분당구 운중동","9**","단독","8m미만","495.54","295.30","202510","16","494,831","개인","법인","2020","산운로185번길","-","직거래","-"
